Conc,p,pmin,pmax
3.4125,0.0168472804361253,0.0125699351943802,0.0211246256778703
3.45,0.0164486938449115,0.0121504209714266,0.0207469667183963
3.4875,0.0160533737820756,0.0117321884987186,0.0203745590654326
3.525,0.0156612802563197,0.0113151837984116,0.0200073767142279
3.5625,0.0152723739264975,0.0108993585359884,0.0196453893170066
3.6,0.0148866160884554,0.0104846698716889,0.0192885623052219
3.6375,0.0145039686621923,0.0100710802848043,0.0189368570395804
3.675,0.0141243941793287,0.00965855736939853,0.0185902309892589
3.7125,0.0137478557708761,0.00924707360847682,0.0182486379332754
3.75,0.0133743171552991,0.00883660613081285,0.0179120281797854
3.7875,0.0130037426268617,0.00842713644885376,0.0175803488048696
3.825,0.0126360970442495,0.00801865018503946,0.0172535439034594
3.8625,0.0122713458194611,0.00761113679233898,0.0169315548465833
