Conc,p,pmin,pmax
13.065,0.11312736791194,0.106770221800512,0.119484514023367
13.26,0.113354189288145,0.106972469382769,0.119735909193521
13.455,0.113578707110953,0.107173319899865,0.11998409432204
13.65,0.113800956294726,0.107372791733863,0.120229120855588
13.845,0.11402097105179,0.107570902411861,0.120471039691719
14.04,0.114238784909991,0.107767668691746,0.120709901128236
14.235,0.114454430729727,0.107963106629085,0.120945754830369
14.43,0.114667940720475,0.108157231620495,0.121178649820455
14.625,0.114879346456829,0.108350058462257,0.121408634451402
14.82,0.115088678894067,0.108541601392439,0.121635756395694
15.015,0.115295968383258,0.108731874141957,0.121860062624559
15.21,0.115501244685937,0.108920889959793,0.122081599412081
15.405,0.115704536988346,0.109108661661711,0.122300412314981
15.6,0.115905873915269,0.109295201651899,0.12251654617864
15.795,0.116105283543468,0.109480521962607,0.12273004512433
15.99,0.116302793414736,0.109664634265136,0.122940952564337
16.185,0.116498430548578,0.109847549915342,0.123149311181814
16.38,0.116692221454531,0.110029279957942,0.123355162951121
16.575,0.116884192144143,0.110209835157574,0.123558549130712
16.77,0.117074368142609,0.110389226011355,0.123759510273863
16.965,0.117262774500084,0.110567462773772,0.123958086226397
17.16,0.117449435802688,0.110744555459119,0.124154316146257
17.355,0.117634376183195,0.110920513877534,0.124348238488856
17.55,0.117817619331438,0.111095347622109,0.124539891040766
17.745,0.117999188504424,0.111269066102676,0.124729310906173
17.94,0.118179106536175,0.111441678542473,0.124916534529878
18.135,0.1183573958473,0.111613194003545,0.125101597691054
18.33,0.118534078454306,0.111783621378101,0.12528453553051
18.525,0.118709175978666,0.111952969406349,0.125465382550984
18.72,0.11888270965564,0.112121246691625,0.125644172619654
18.915,0.119054700342853,0.112288461697498,0.125820938988207
19.11,0.119225168528659,0.11245462275458,0.125995714302738
19.305,0.119394134340277,0.112619738072056,0.126168530608499
19.5,0.119561617551709,0.11278381574219,0.126339419361228
19.695,0.119727637591457,0.112946863743058,0.126508411439855
19.89,0.119892213550035,0.113108889949008,0.126675537151061
20.085,0.120055364187289,0.11326990212407,0.126840826250508
20.28,0.120217107939523,0.113429907940145,0.127004307938901
20.475,0.120377462926446,0.113588914971523,0.127166010881369
20.67,0.120536446957938,0.113746930699245,0.127325963216631
20.865,0.120694077540643,0.113903962521682,0.127484192559605
21.06,0.120850371884398,0.114060017747486,0.127640726021309
21.255,0.121005346908492,0.114215103603586,0.127795590213399
21.45,0.121159019247779,0.114369227242834,0.127948811252725
21.645,0.121311405258622,0.114522395731003,0.128100414786241
21.84,0.121462521024702,0.114674616071157,0.128250425978247
22.035,0.121612382362675,0.114825895185732,0.128398869539618
22.23,0.121761004827691,0.114976239928972,0.12854576972641
22.425,0.121908403718776,0.11512565708498,0.128691150352572
22.62,0.122054594084083,0.11527415337856,0.128835034789607
22.815,0.122199590726011,0.115421735454652,0.12897744599737
23.01,0.122343408206204,0.115568409912462,0.129118406499945
23.205,0.122486060850423,0.115714183273252,0.129257938427594
23.4,0.122627562753307,0.115859062006939,0.129396063499675
23.595,0.122767927783011,0.116003052518896,0.129532803047126
23.79,0.12290716958574,0.116146161159151,0.129668178012329
23.985,0.123045301590171,0.116288394218382,0.12980220896196
24.18,0.123182337011767,0.116429757931585,0.12993491609195
24.375,0.123318288856998,0.116570258475713,0.130066319238283
24.57,0.123453169927451,0.116709901980143,0.130196437874758
24.765,0.123586992823848,0.116848694513405,0.130325291134292
24.96,0.123719769949976,0.116986642093293,0.13045289780666
25.155,0.123851513516513,0.117123750691144,0.130579276341883
25.35,0.123982235544775,0.117260026217452,0.130704444872099
25.545,0.124111947870372,0.117395474541191,0.130828421199553
25.74,0.124240662146778,0.117530101473709,0.130951222819848
25.935,0.124368389848826,0.117663912788593,0.131072866909059
26.13,0.124495142276112,0.117796914195219,0.131193370357006
26.325,0.124620930556333,0.117929111368681,0.131312749743984
26.52,0.124745765648538,0.11806050992865,0.131431021368426
26.715,0.124869658346317,0.118191115457001,0.131548201235633
26.91,0.124992619280907,0.118320933475858,0.131664305085956
27.105,0.125114658924234,0.118449969474723,0.131779348373745
